Date,360.AX,AGL.AX
2023-04-17 00:00:00+10:00,-2.19123772773605,-0.23201281154144718
2023-04-24 00:00:00+10:00,1.5999984741210938,-3.4883741561368864
2023-05-01 00:00:00+10:00,-0.19684551564682962,5.20710702946018
2023-05-08 00:00:00+10:00,12.3552193925076,-1.8994422337077388
2023-05-15 00:00:00+10:00,21.66377823452405,1.0250587166867022
2023-05-22 00:00:00+10:00,-7.703287033648514,3.273137393797428
2023-05-29 00:00:00+10:00,3.636367445806553,1.8478269545477826
2023-06-05 00:00:00+10:00,-6.1870480595608734,5.010663766466513
2023-06-12 00:00:00+10:00,5.368096712522263,7.614212903087146
2023-06-19 00:00:00+10:00,3.3576645587679534,4.9335906987257
2023-06-26 00:00:00+10:00,7.496459973163579,-1.9945541131507292
2023-07-03 00:00:00+10:00,-5.283509177271582,1.3736228707168685
2023-07-10 00:00:00+10:00,6.603770432343492,2.7953062369439508
2023-07-17 00:00:00+10:00,-3.42205304810453,5.1709041233835595
2023-07-24 00:00:00+10:00,-0.1312303437645531,2.250003814697262
2023-07-31 00:00:00+10:00,-1.1642969258191282,-6.677522090025449
2023-08-07 00:00:00+10:00,1.5645356501360632,-2.8745639099718012
2023-08-14 00:00:00+10:00,4.076435357311703,-1.0849985052492268
2023-08-21 00:00:00+10:00,8.610083633599976,0.09132629274910387
2023-08-28 00:00:00+10:00,4.190259215809696,0.0
2023-09-04 00:00:00+10:00,-7.67567608807538,-1.7040321693602474
2023-09-11 00:00:00+10:00,8.695649250474764,-0.3649631543230464
2023-09-18 00:00:00+10:00,-4.061469807936685,-1.2903256995442531
2023-09-25 00:00:00+10:00,-4.032262317560352,-0.46382367322268186
2023-10-02 00:00:00+11:00,2.063107779320683,-0.8571443103608726
2023-10-09 00:00:00+11:00,1.1890651995730805,5.086369760946247
2023-10-16 00:00:00+11:00,-3.473053276699168,-1.1992630314666695
2023-10-23 00:00:00+11:00,-6.148052497080195,2.542377219144925
2023-10-30 00:00:00+11:00,6.548431433418049,-1.9444447633170179
2023-11-06 00:00:00+11:00,2.7096779115738405,-0.37807147581732203
2023-11-13 00:00:00+11:00,0.6172745025411298,-0.4761922927129768
2023-11-20 00:00:00+11:00,-6.781747684105893,-4.688993110638355
2023-11-27 00:00:00+11:00,1.321002673248573,-4.9395137837662775
2023-12-04 00:00:00+11:00,-8.300906139027903,1.6806705852795114
2023-12-11 00:00:00+11:00,2.805046368233042,-4.253120191747883
2023-12-18 00:00:00+11:00,2.094973443632785,0.6451555345359771
2023-12-25 00:00:00+11:00,3.419972666989385,1.2820501064172076
2024-01-01 00:00:00+11:00,-8.201056749361962,1.5822845933303182
2024-01-08 00:00:00+11:00,-2.1644967135047373,-6.0228444113546855
2024-01-15 00:00:00+11:00,3.7956238321405094,-2.343750415768995
2024-01-22 00:00:00+11:00,4.195800138409486,0.6865036749196892
2024-01-29 00:00:00+11:00,4.353743888618104,-6.307341443720685
2024-02-05 00:00:00+11:00,2.477184554504787,5.418725865256856
2024-02-12 00:00:00+11:00,-0.12500286102294922,-0.23120814995775396
2024-02-19 00:00:00+11:00,-0.12690645604826173,-2.893518403540424
2024-02-26 00:00:00+11:00,47.71241895248789,3.3412855506848875
2024-03-04 00:00:00+11:00,10.375669192737744,1.8604632594768054
2024-03-11 00:00:00+11:00,-1.3787516410855583,-1.600003923688616
2024-03-18 00:00:00+11:00,14.166665077209473,-2.7874538988168123
2024-03-25 00:00:00+11:00,-1.2075460182045992,-0.9501178501326877
2024-04-01 00:00:00+11:00,-7.25744689221659,2.6378928417710257
2024-04-08 00:00:00+10:00,-3.2142843518938333,4.889407087698512
2024-04-15 00:00:00+10:00,0.15209474025754574,0.0
