Date,SUN,BWP,CPU,VEA,CSL,GNC
2021-04-16 00:00:00+10:00,,,,,,
2021-04-19 00:00:00+10:00,-0.0019157962986995417,-0.02192552096907761,-0.014483559553065947,-0.008438865306862798,-0.002865731056510088,0.005665738097113446
2021-04-20 00:00:00+10:00,-0.0028803383068546663,0.0,-0.01335128171059381,0.005633578420596752,-0.01634592195090245,-0.02478671393390687
2021-04-21 00:00:00+10:00,-0.0019250156561792689,0.002460141246813359,-0.006066792037267518,0.008391813038460984,0.015040607849601685,-0.023438573772749563
2021-04-22 00:00:00+10:00,-0.005797175439569815,0.004901931755336294,0.0006759783610021255,0.005555334326090205,0.01793853022318746,0.0
2021-04-23 00:00:00+10:00,0.00772219109574896,0.002441917547677257,-0.01910015288291479,-0.0027736140911202452,0.0019775396885743355,0.011787956157100148
2021-04-26 00:00:00+10:00,-0.0019250156561792689,0.0,-0.006217676614366325,0.011049600037792992,-0.005833915697162532,0.011650617615649584
2021-04-27 00:00:00+10:00,0.002885982458981531,0.004866284702012925,-0.009049821829832529,0.01092929818709377,-0.012516075926579332,-0.0038684430137192376
2021-04-28 00:00:00+10:00,0.007655480594800966,0.021609445315570065,-0.0035026531484208083,0.029453181593615138,0.009789306388300138,-0.0175957618903796
2021-04-29 00:00:00+10:00,0.01419815274710082,-0.002378168891728809,0.008385775336027225,0.0362735393742304,0.009109314930300108,0.007858620839244629
2021-04-30 00:00:00+10:00,-0.012293303777674871,-0.01680711831638129,-0.01755043620299195,-0.0051023374799555946,-0.008556086391325657,-0.0019588987120562084
2021-05-03 00:00:00+10:00,0.006638089537562942,0.0072376767093299725,-0.010680053970055756,0.015228718527066584,-0.0007746757293648109,0.0
2021-05-04 00:00:00+10:00,0.010343418914136543,0.011947610498780103,-0.010072092826291339,-0.0025217849156224602,0.0009589783706866659,0.025170771787957878
2021-05-05 00:00:00+10:00,0.013934359774724623,0.009456390063596843,0.018625153470399388,-0.007604596131488385,0.02350413179029701,0.018939795403552406
2021-05-06 00:00:00+10:00,0.009182632101728696,-0.011834558955325728,0.0014183758824735198,-0.0051023374799555946,-0.0027770639947257898,-0.011320877118857627
2021-05-07 00:00:00+10:00,0.0036497079377868116,0.0,-0.0035496821627479156,0.0076432054160606834,-0.008632747621519235,0.007561506638164682
2021-05-10 00:00:00+10:00,0.0072596962192271975,0.007117477022257424,0.007087100946951946,0.039806662084762245,0.003091563168963617,0.005633818273383851
2021-05-11 00:00:00+10:00,-0.007259696219227256,-0.0023668464376972865,-0.0063761851971615695,-0.019705482763675064,-0.003711024391239754,-0.015094594466218244
2021-05-12 00:00:00+10:00,-0.054269504632968577,-0.011919063743959703,0.009197152731068123,-0.017566038839264206,-0.0003279833482134794,-0.019194380754791726
2021-05-13 00:00:00+10:00,-0.009661937705804195,-0.004807597547204007,0.025036023507722296,0.002528587713560235,0.01181675428629209,0.05100245782333002
2021-05-14 00:00:00+10:00,-0.0009714410740555514,0.007202854958819615,0.025094521133010226,0.005037721205244167,0.0006123872662134091,-0.02423224975845383
2021-05-17 00:00:00+10:00,-0.0038948140253208777,-0.002395257411615661,-0.0020112728211621905,0.06798731775583913,-0.004005422770563635,-0.017126864653512278
2021-05-18 00:00:00+10:00,0.034519183505514174,-0.002401008447651528,0.04141228361391645,-0.02375428094425593,0.0023112685982413063,-0.019380484462498862
2021-05-19 00:00:00+10:00,-0.0075686688210720035,-0.012091950414913667,-0.02411327980123223,-0.029270169383594568,-0.010006166267616792,-0.01577948910177431
2021-05-20 00:00:00+10:00,0.007568668821071848,0.01449295886256526,0.019595723166553343,0.014742345256146249,0.013427432457808065,-0.022111312190888226
2021-05-21 00:00:00+10:00,0.0018833252157618853,-0.007220323201808273,0.013492034181090668,-0.004890328028122158,0.02183361846307552,-0.008163453124487187
2021-05-24 00:00:00+10:00,0.003755943346035827,0.007220323201808327,0.0,0.019418152155570582,0.017330433160984763,-0.008230535568780563
2021-05-25 00:00:00+10:00,0.018570393211260243,0.014285910181657141,0.01142151744839666,-0.00481921783145088,0.009256316899315819,0.002063912246741284
2021-05-26 00:00:00+10:00,0.007332990640805041,0.0,-0.0031595805371309564,-0.004842555205231727,-0.010674885145161376,0.012295452345054768
2021-05-27 00:00:00+10:00,0.008185520481751406,-0.0023668464376972865,0.025618302708634147,-0.0048660510907658225,-0.000865611068223236,0.004065010482776941
2021-05-28 00:00:00+10:00,0.011706481460220986,0.004728039517426393,-0.0012344482726688066,0.004866051090765862,0.0017654857146057405,0.016096891565794233
2021-05-31 00:00:00+10:00,-0.004486194001343036,0.007050760183163427,-0.03009644483758056,-0.014670185711479955,0.003762894840439485,0.0019939489261613023
2021-06-01 00:00:00+10:00,-0.008126584347572638,-0.004694871329824111,0.0031776528502127682,-0.004938210635432012,-0.007679051039304574,0.0
2021-06-02 00:00:00+10:00,0.010820772340082743,0.01401887436082665,0.0044317528388749085,0.0,-0.0035828193027431115,0.023623249471095564
2021-06-03 00:00:00+10:00,0.0044743404074149016,0.0023174798930007154,0.004412264111616418,0.014742345256146249,0.00017415582691706675,0.0
2021-06-04 00:00:00+10:00,0.008888971775545177,0.0,0.02177381236535085,0.01932426494727834,0.015076897863945258,0.019268351461332617
2021-06-07 00:00:00+10:00,-0.005324028221571705,0.006920388605862211,-0.008652575336318644,-0.01445821385651248,0.0041101154683986976,-0.01344874260551698
2021-06-08 00:00:00+10:00,0.0,0.0,0.004335614044486243,0.0,0.00891526737262566,-0.0019361428563743558
