Combination,Optimized_b,Optimized_Objective,Optimized_Returns,Minimum_Variance
"('SUN', 'BWP', 'XRO', 'STO', 'SHL', 'WOW')","[0.50000004354, 0.1, 0.1, 0.1, 0.1, 0.1]",3.39976078857476,0.0003064433761813369,9.013674644732972e-05
"('SUN', 'BWP', 'XRO', 'STO', 'FPH', 'TWE')","[0.49999991534, 0.1, 0.1, 0.1, 0.1, 0.10000012084]",3.769080247911329,0.00034384778856718463,9.122856663976075e-05
"('SUN', 'BWP', 'XRO', 'STO', 'FPH', 'GNC')","[0.42447441923, 0.1, 0.1, 0.1, 0.1, 0.17552561744]",4.2671620359494895,0.0003879228979088185,9.090887447926534e-05
"('SUN', 'BWP', 'XRO', 'STO', 'FPH', 'WOW')","[0.4999998411, 0.1, 0.1, 0.10000019853, 0.1, 0.1]",3.4938874932274544,0.0003082017947916257,8.821171127835213e-05
"('SUN', 'BWP', 'XRO', 'STO', 'CSL', 'TWE')","[0.48872947409, 0.1, 0.1, 0.1, 0.1, 0.11127056546]",4.116249698108993,0.00037301858937653485,9.062098189716232e-05
"('SUN', 'BWP', 'XRO', 'STO', 'CSL', 'GNC')","[0.41929691814, 0.1, 0.1, 0.1, 0.1, 0.18070311681]",4.630758713898562,0.0004215039384029645,9.102265189025732e-05
"('SUN', 'BWP', 'XRO', 'STO', 'CSL', 'WOW')","[0.50000004885, 0.1, 0.1, 0.1, 0.1, 0.1]",3.8468050840447514,0.00034158539162596835,8.879716652209627e-05
"('SUN', 'BWP', 'XRO', 'VEA', 'SHL', 'TWE')","[0.28067760781, 0.1, 0.1, 0.31932243189, 0.1, 0.1]",5.589196170346834,0.0005133388251778456,9.184483949612216e-05
"('SUN', 'BWP', 'XRO', 'VEA', 'SHL', 'GNC')","[0.29216922548, 0.1, 0.1, 0.30710642478, 0.1, 0.10072437974]",5.837750643289657,0.0005495768126678567,9.41418786531386e-05
"('SUN', 'BWP', 'XRO', 'VEA', 'SHL', 'WOW')","[0.27502652674, 0.1, 0.1, 0.32497351321, 0.1, 0.1]",5.400432036307049,0.00047999809610072745,8.888142520333653e-05
"('SUN', 'BWP', 'XRO', 'VEA', 'FPH', 'TWE')","[0.28620455122, 0.1, 0.1, 0.31379548839, 0.1, 0.1]",5.681600910130341,0.0005128427363151829,9.026377326164884e-05
"('SUN', 'BWP', 'XRO', 'VEA', 'FPH', 'GNC')","[0.29817218056, 0.1, 0.1, 0.30182378932, 0.1, 0.10000406012]",5.943278958753115,0.0005491529020787439,9.239897805401932e-05
"('SUN', 'BWP', 'XRO', 'VEA', 'FPH', 'WOW')","[0.2804584869, 0.10000004962, 0.10000000535, 0.31954135927, 0.10000002301, 0.10000007584]",5.481416048281313,0.00047954052695790194,8.74847891008494e-05
"('SUN', 'BWP', 'XRO', 'VEA', 'CSL', 'TWE')","[0.28793531696, 0.1, 0.1, 0.31206469484, 0.1, 0.10000001713]",6.080556542280132,0.0005455201935686349,8.97155037989453e-05
"('SUN', 'BWP', 'XRO', 'VEA', 'CSL', 'GNC')","[0.29569150784, 0.1, 0.1, 0.29804607336, 0.1, 0.10626244879]",6.329420642165877,0.0005812341482663124,9.183054518358235e-05
"('SUN', 'BWP', 'XRO', 'VEA', 'CSL', 'WOW')","[0.28271071262, 0.1, 0.1, 0.31728932736, 0.1, 0.1]",5.884789111436296,0.0005120055182238804,8.700490510847136e-05
"('SUN', 'BWP', 'XRO', 'WDS', 'SHL', 'TWE')","[0.40259705026, 0.1, 0.1, 0.19740285817, 0.1, 0.10000012146]",4.269503008225137,0.00036667904191443114,8.588330801220403e-05
"('SUN', 'BWP', 'XRO', 'WDS', 'SHL', 'GNC')","[0.373192992, 0.1, 0.1, 0.17450546114, 0.1, 0.15230157683]",4.67992872941414,0.0004117703211857672,8.798645128882442e-05
"('SUN', 'BWP', 'XRO', 'WDS', 'SHL', 'WOW')","[0.40212450936, 0.1, 0.1, 0.19787552716, 0.1, 0.1]",4.002626575029629,0.0003309938646541125,8.269416555594182e-05
"('SUN', 'BWP', 'XRO', 'WDS', 'FPH', 'TWE')","[0.40321625545, 0.1, 0.1, 0.19678374594, 0.1, 0.10000002854]",4.3873294714694016,0.0003684890125216217,8.39893641263754e-05
"('SUN', 'BWP', 'XRO', 'WDS', 'FPH', 'GNC')","[0.37610226908, 0.10000006553, 0.10000000926, 0.17506624633, 0.10000003362, 0.14883137618]",4.8060588002596045,0.0004133497294934557,8.60059659426406e-05
"('SUN', 'BWP', 'XRO', 'WDS', 'FPH', 'WOW')","[0.4027214851, 0.10000006612, 0.10000001242, 0.19727829715, 0.10000003906, 0.10000010015]",4.109888507911136,0.0003328017849837275,8.0975866947027e-05
"('SUN', 'BWP', 'XRO', 'WDS', 'CSL', 'TWE')","[0.40229104653, 0.1, 0.1, 0.19770899338, 0.1, 0.1]",4.741893236821833,0.0004017956736282877,8.473317587757076e-05
"('SUN', 'BWP', 'XRO', 'WDS', 'CSL', 'GNC')","[0.37169788529, 0.1, 0.1, 0.17365428555, 0.1, 0.15464785905]",5.163760182094135,0.0004470725605316408,8.657887755552834e-05
"('SUN', 'BWP', 'XRO', 'WDS', 'CSL', 'WOW')","[0.40153810883, 0.1, 0.1, 0.19846193007, 0.1, 0.1]",4.473055311005441,0.0003660871622629627,8.184275328817131e-05
"('SUN', 'BWP', 'WTC', 'STO', 'SHL', 'TWE')","[0.44226121047, 0.1, 0.14427430504, 0.10134933676, 0.1, 0.11211516539]",5.5252427931467345,0.0005301900998279766,9.595779220518614e-05
"('SUN', 'BWP', 'WTC', 'STO', 'SHL', 'GNC')","[0.41439895333, 0.1, 0.13471297937, 0.1, 0.1, 0.15088809319]",5.868863064303835,0.000572122023601094,9.748430272311339e-05
"('SUN', 'BWP', 'WTC', 'STO', 'SHL', 'WOW')","[0.44005177025, 0.1, 0.15564269548, 0.10430556398, 0.1, 0.1]",5.4140811702691,0.0005053333695033758,9.333686614791904e-05
"('SUN', 'BWP', 'WTC', 'STO', 'FPH', 'TWE')","[0.44609483541, 0.1, 0.13734716228, 0.10656633182, 0.1, 0.10999169049]",5.669860654074713,0.0005260506783261925,9.278017757775756e-05
"('SUN', 'BWP', 'WTC', 'STO', 'FPH', 'GNC')","[0.4216259753, 0.1, 0.12830247156, 0.1, 0.1, 0.15007158306]",6.0273571414794835,0.0005696357187899443,9.450837330839179e-05
"('SUN', 'BWP', 'WTC', 'STO', 'FPH', 'WOW')","[0.44278550503, 0.1, 0.14840800444, 0.10880651653, 0.1, 0.1]",5.547063216639601,0.0005004915697258358,9.02264045278057e-05
