Date,SUN,WBC,CBA,BWP,GPT,MGR,CPU,XRO,WTC,STO,VEA,WDS,SHL,FPH,CSL,TWE,GNC,WOW
2021-04-16 00:00:00+10:00,,,,,,,,,,,,,,,,,,
2021-04-19 00:00:00+10:00,-0.001915490732541857,0.0015784274339163183,0.009613833957743376,-0.021925454946681727,-0.03168174165488228,-0.003913920481868282,-0.014483287050320641,-0.009285882775548713,-0.004046747340504856,-0.012667481423833895,-0.00843886463906273,-0.01887256144165878,-0.0002799957434632998,0.010339299057044542,-0.002865731056510088,-0.0058366949351974905,0.0056656387229273636,-0.0007140622629850285
2021-04-20 00:00:00+10:00,-0.002880644362072602,-0.00474304451753779,-0.012459054094600231,0.0,-0.017316345990857223,-0.003929299467241906,-0.013351418948642398,-0.014162117742931944,-0.008771963400121052,-0.00568177554025752,0.005633498952356916,-0.01192506436070561,0.008368158117629379,-0.003219465619738136,-0.016346041795488032,0.0038950138331252794,-0.02478671393390687,-0.009086541713105469
2021-04-21 00:00:00+10:00,-0.00192481103041838,-0.01035456425437859,0.0048888752981371885,0.002460141246813359,-0.00218584129930299,-0.007905115186528254,-0.006066792037267518,-0.014365568058462312,-0.03685726807514155,-0.011461404009929359,0.00839165631554966,-0.014674480878016693,-0.007807894574640073,-0.002583198328975809,0.015040727694187288,-0.01271427966499125,-0.023438781162373735,0.002638921155910037
2021-04-22 00:00:00+10:00,-0.005797277850921869,0.005190639261675823,0.010941571251800657,0.0049019987462771974,0.013043766923403262,0.027399014857386873,0.0006759783610021255,0.010322047127845398,0.010069960580059972,-0.002885975225394073,0.00555533519432462,-0.0061055494216303,0.02105316097536611,0.03712934402323083,0.017938414266511014,0.001966705780790029,0.0,0.014980593294620785
2021-04-23 00:00:00+10:00,0.0077220888813403915,0.00039818692509045045,0.002800403475434764,0.0024418505567365863,0.0,0.0,-0.01910015288291479,0.0023723957359510525,-0.0045352056204265205,0.008633136562976675,-0.0027734582364432117,-0.002628103648708092,0.0027376379719716063,0.012384123578095273,0.0019775399176565917,0.006852560051075918,0.011788163546724238,-0.0030729458959475654
2021-04-26 00:00:00+10:00,-0.00192481103041838,-0.0015936099331144045,-0.003810637960868652,0.0,0.0,0.0,-0.006217533194433403,-0.0051705361067515615,-0.006841451561973814,-0.012977855265549638,0.011049522752721747,-0.003515059665547499,-0.00795952087219655,-0.01238412357809515,-0.005833799969568384,-0.01177639053033917,0.011650617615649584,-0.008559347143026346
2021-04-27 00:00:00+10:00,0.0028858800476294503,-0.003594957525115236,0.0031393061314292144,0.004866218198866491,0.00431038548336927,-0.011650679721748478,-0.009050037611647441,-0.02267186668522673,-0.009525547077960423,0.007230693927967044,0.01092937547216499,0.0057056076684358385,-0.0013785905562144884,0.02157253594403598,-0.012516075926579332,-0.002966101254390263,-0.003868544698933052,-0.004786741919732359
2021-04-28 00:00:00+10:00,0.007655581932257675,0.01232868443421471,0.009802907035608861,0.021609511818716516,0.010695164062239497,0.03077161698652372,-0.0035025807865387833,-0.005388911791461241,0.033109137378773655,0.01146140400992949,0.02945325581989441,0.01131436723185666,0.0002757090503045131,0.014828600433772363,0.00978918966574584,0.009852675169960787,-0.01759566020516574,-0.006499069999290886
2021-04-29 00:00:00+10:00,0.014198051409644146,-0.004357328736638097,-0.0023306651461160455,-0.002378168891728809,-0.0064033983385491456,0.0,0.008385775336027225,0.021454046197785664,0.02708826294126047,0.004264509531551132,0.03627346514795128,0.006039699418777059,0.00796826922217124,0.02433357406506316,0.0091094316528544,-0.0029456128353265837,0.007858620839244629,-0.03940433435018029
2021-04-30 00:00:00+10:00,-0.012293303777674871,-0.00837161442611318,-0.010724042039052785,-0.01680705197425802,-0.010764422324212094,0.018762276836926176,-0.01755043620299195,-0.0017644780263962264,-0.023582169954711175,-0.00997875220389793,-0.005102409428206627,-0.016916511004814037,-0.018227449981348415,-0.014172119504092345,-0.008556086391325657,-0.012865063903096594,-0.0019588987120562084,-0.012893614578714687
2021-05-03 00:00:00+10:00,0.006638089537562942,0.04882835116857349,0.007385110366846206,0.007237610367206781,0.010764422324212052,-0.0037243183131793647,-0.010680128041273926,-0.011438444075416755,-0.02089766696639739,-0.02318944286291134,0.01522879047531752,-0.014984927468007484,-0.004189493650001533,-0.02164203870601282,-0.0007746757293648109,-0.00900456465533306,0.0,-0.007662789587339057
2021-05-04 00:00:00+10:00,0.010343418914136543,-0.009192026119518162,0.008326470802622204,0.011947610498780103,-0.006444847483428738,0.018484714348332154,-0.010072018755073166,-0.01758859236793057,-0.025001426084619922,0.023189442862911476,-0.0025217138758341006,0.014984927468007475,-0.0058947711715944704,-0.0024338806723601626,0.0009589783706866659,0.031654309352682965,0.025170671463735174,0.006134909494267128
2021-05-05 00:00:00+10:00,0.013934359774724623,-0.0011550974132588157,0.0247870642985605,0.009456390063596843,0.0,0.014545789801418614,0.018625300351151695,-0.0008002664207368635,-0.02189002441605862,0.0028612805787317846,-0.007604667171276874,0.004800412430573638,-0.010471014233891627,-0.024669712062739362,0.02350413179029701,0.0,0.01893999416974884,0.0030534293293820094
2021-05-06 00:00:00+10:00,0.009182632101728696,0.002308775396980961,0.002369785334897882,-0.011834558955325728,-0.008657889385188777,0.0,0.001418375674289113,-0.0007280003658794026,-0.007861989661003778,0.005698039651180978,-0.005102409428206627,0.00780581304217486,-0.0005693514421753864,-0.015099428475815631,-0.0027770639947257898,-0.007820009183872302,-0.011320975560831276,-0.002543876541277116
2021-05-07 00:00:00+10:00,0.0036497079377868116,0.002686577569572135,0.010489211800287106,0.0,0.006500585661557875,0.003603626848745318,-0.003549902432390774,-0.026195949224741538,-0.031726543691227155,0.0014194319739851242,0.007643277364311895,0.0047404194914876865,-0.008289298100299554,-0.008274896130143938,-0.008632632387176093,-0.0029485079921516013,0.007561506638164682,0.004067040081083446
2021-05-10 00:00:00+10:00,0.0072596001044138835,0.012569182203123752,0.013011437759403525,0.007117606569755024,-0.0065005856615579245,0.01073351646278939,0.007087174544027052,0.01668249995993606,-0.010683834567607027,0.019663504921661235,0.03980659347071701,0.006855022859223456,0.008289298100299417,0.00890876500296474,0.003091562813259526,-0.006913678423219265,0.005633916531006,0.02702866330329977
